ID,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts
879,Master,Married,49681,0,2,411,0,26,0,0
880,Basic,Together,22634,0,0,2,23,11,8,6
891,Master,Together,29298,1,1,6,0,2,2,0
895,PhD,Married,61467,0,2,410,16,114,0,5
898,Graduation,Married,23477,1,0,38,15,54,3,8
902,Graduation,Together,62994,1,0,224,12,48,4,12
905,Graduation,Divorced,21846,1,0,7,17,18,6,10
907,Graduation,Married,46149,0,1,254,6,71,4,0
916,PhD,Single,41644,1,1,20,3,4,2,0
922,2n Cycle,Married,31086,1,1,16,2,11,3,0
933,PhD,Married,37717,1,0,9,0,6,4,1
938,Graduation,Married,40211,1,1,51,1,7,2,1
940,Graduation,Single,57100,1,0,158,11,99,15,11
942,Graduation,Single,39660,1,0,139,13,78,20,13
944,Graduation,Married,56181,0,1,121,103,69,8,44
945,Graduation,Together,36317,0,1,87,3,25,3,2
946,2n Cycle,Together,26490,0,0,45,47,52,21,20
948,Graduation,Single,10245,1,0,4,7,7,6,4
954,Basic,Widow,22123,0,0,3,3,24,34,7
955,Master,Together,47175,1,1,167,2,44,6,2
961,Graduation,Married,74716,0,1,133,27,421,13,195
965,Graduation,Divorced,55635,0,1,235,65,164,50,49
966,Graduation,Married,44529,0,1,538,13,91,17,6
967,Graduation,Married,46049,1,1,342,9,112,19,14
968,Master,Divorced,41335,1,0,112,19,21,16,14
975,Graduation,Single,54252,1,1,178,4,26,8,4
977,Graduation,Together,47320,0,1,200,19,111,50,15
979,Graduation,Single,33249,1,0,6,10,21,19,14
983,Graduation,Married,40059,1,0,110,29,92,28,10
988,Graduation,Married,81168,0,0,410,0,592,147,22
999,Graduation,Single,86037,0,0,490,44,125,29,20
1000,Master,Together,74881,1,1,505,72,270,36,27
1008,PhD,Together,44953,0,0,728,17,133,11,8
1010,Graduation,Together,46931,2,1,41,0,17,3,1
1012,Graduation,Single,61823,0,1,523,7,134,37,14
1016,PhD,Single,34554,0,1,41,1,6,2,0
1020,Graduation,Married,79593,0,0,350,60,568,110,133
1029,PhD,Together,64413,0,1,200,5,44,0,10
1030,PhD,Single,40637,1,1,22,0,13,0,0
1031,2n Cycle,Married,85710,0,0,600,20,350,29,30
1041,PhD,Single,48432,0,1,322,3,50,4,3
1044,Graduation,Together,58398,0,0,299,5,201,21,21
1045,Graduation,Together,52117,0,1,112,10,107,30,0
1048,Master,Married,35641,1,0,63,3,67,8,9
1050,Graduation,Married,28332,0,0,14,10,13,4,15
1052,Graduation,Married,56796,0,1,656,38,161,62,47
1055,Master,Married,53204,1,1,29,0,8,2,0
1064,PhD,Married,42403,1,0,22,1,11,0,5
1065,Graduation,Single,80695,0,0,557,129,984,193,37
1071,PhD,Divorced,70179,0,1,532,88,168,69,44
1072,PhD,Single,40760,0,1,70,0,17,0,0
1077,Graduation,Together,56715,0,0,258,105,239,237,172
1079,PhD,Married,71969,0,1,1000,0,76,0,0
1081,PhD,Married,75283,1,2,733,9,180,12,19
1087,Master,Together,22669,1,0,16,14,36,37,22
1092,Graduation,Married,61014,0,1,269,129,495,182,43
1100,Master,Together,41275,1,2,24,4,22,0,2
1103,Master,Married,81929,1,0,1486,55,278,49,0
1109,Master,Together,27590,1,0,6,0,5,0,0
1118,Master,Married,50965,0,1,544,13,85,8,6
1127,PhD,Married,85844,0,0,938,19,843,25,95
1131,PhD,Single,52569,0,1,85,0,3,0,0
1135,Master,Together,17144,1,1,18,2,19,0,2
1137,Graduation,Single,81246,0,0,398,190,537,61,156
1139,PhD,Married,73356,0,0,1050,14,322,0,14
1142,PhD,Married,55707,0,1,208,7,82,30,66
1143,Graduation,Married,22063,1,0,7,10,13,3,11
1146,Master,Together,49912,0,1,520,8,223,32,49
1150,PhD,Together,83532,0,0,755,144,562,104,64
1158,Graduation,Divorced,48877,0,1,102,1,15,2,0
1160,Graduation,Married,13260,1,1,9,4,17,10,2
1162,PhD,Single,42000,0,0,124,83,267,85,59
1165,PhD,Single,50729,1,1,239,13,143,45,4
1168,PhD,Married,72159,0,0,322,53,899,34,40
1170,Graduation,Married,27573,1,0,50,15,110,39,15
1172,PhD,Married,92491,0,0,979,44,935,29,25
1173,Master,Together,77632,0,0,1200,105,758,0,42
1175,Master,Married,36262,0,0,88,39,54,64,28
1176,Graduation,Married,26228,1,0,2,6,4,3,1
1177,Master,Together,49618,1,1,80,3,26,4,2
1183,Master,Married,36408,1,1,9,1,4,3,2
1184,PhD,Divorced,69674,0,2,554,41,215,11,0
1204,PhD,Married,67536,0,1,1253,0,447,23,71
1212,Graduation,Married,52845,1,0,384,25,292,130,41
1215,Graduation,Together,70440,0,0,690,117,499,76,102
1225,Graduation,Married,80124,0,0,483,84,398,205,84
1232,PhD,Together,70038,0,0,587,54,348,71,54
1241,2n Cycle,Married,14796,1,0,13,3,8,7,4
1245,Graduation,Single,63810,0,1,977,12,253,16,12
1250,Graduation,Single,37697,1,0,34,6,21,11,4
1272,Master,Single,55250,0,1,664,58,83,32,0
1277,Graduation,Together,78468,0,0,434,22,388,104,22
1291,PhD,Together,27683,1,0,152,9,121,12,12
1307,Graduation,Divorced,41986,0,1,27,5,8,8,3
1321,Graduation,Married,26067,1,0,22,2,18,0,2
1324,Graduation,Married,38872,1,0,23,3,21,3,19
1328,2n Cycle,Married,57937,0,1,261,42,144,55,48
1331,Graduation,Single,35790,1,0,12,6,20,30,1
1340,Graduation,Married,92910,0,0,551,137,792,179,103
1343,Graduation,Together,58554,1,1,368,24,68,38,0
1349,Graduation,Married,50447,2,0,85,7,24,2,3
1351,Master,Together,58656,0,1,962,12,194,16,24
1357,Graduation,Together,74854,1,2,856,59,487,58,29
1361,Master,Married,82584,0,0,1076,68,103,29,91
1362,Graduation,Single,31907,0,0,33,87,64,175,16
1371,Graduation,Single,79941,0,0,123,164,266,227,30
1377,Master,Widow,44551,0,1,182,4,33,0,0
1378,2n Cycle,Together,50334,0,1,284,16,160,84,16
1379,Master,Together,42670,0,0,154,2,46,20,4
1381,PhD,Single,38513,1,0,172,3,115,16,0
1384,Basic,Married,17256,1,0,6,4,14,8,8
1386,Graduation,Together,32474,1,1,10,0,1,0,0
1388,Graduation,Single,33249,1,0,6,10,21,19,14
1399,Graduation,Married,72905,0,0,407,114,445,181,165
1402,Master,Married,66991,0,0,496,36,460,189,60
1403,2n Cycle,Together,34984,1,1,8,4,15,3,5
1404,Graduation,Together,34916,2,0,51,23,82,33,0
1406,Graduation,Single,53201,1,1,280,7,81,20,0
1407,Basic,Married,20425,1,0,4,12,5,3,16
1409,Graduation,Together,40689,0,1,270,3,27,39,6
1411,Graduation,Divorced,82623,0,0,204,34,204,172,153
1419,Graduation,Together,34026,1,1,18,6,15,12,8
1440,2n Cycle,Together,52513,0,0,367,17,241,104,188
1446,Master,Single,86424,0,0,387,68,569,89,45
1448,Master,Married,33562,1,2,21,12,12,0,3
1453,PhD,Widow,57513,0,0,735,40,183,52,20
1456,Graduation,Single,60474,0,1,265,199,303,234,9
1458,Master,Married,21059,1,0,8,3,19,3,3
1459,PhD,Married,69063,0,1,666,35,124,69,8
1461,PhD,Divorced,36921,1,1,17,1,12,3,1
1463,Graduation,Single,45160,1,1,8,2,5,3,0
1473,2n Cycle,Single,47823,0,1,53,1,5,2,1
1490,Graduation,Married,55759,0,1,675,0,85,10,7
1491,2n Cycle,Together,71488,0,0,162,33,124,40,28
1497,Graduation,Single,47958,0,1,268,11,88,15,3
1501,PhD,Married,160803,0,0,55,16,1622,17,3
1502,Graduation,Together,28427,1,0,18,3,19,3,3
1503,PhD,Together,162397,1,1,85,1,16,2,1
1506,Graduation,Single,42160,1,1,48,9,45,3,15
1509,PhD,Together,84460,0,0,152,27,103,106,54
1513,2n Cycle,Together,60839,1,1,600,21,128,223,150
1515,Master,Together,34176,0,1,11,2,7,4,2
1517,Graduation,Single,30822,1,0,3,9,13,2,12
1518,Master,Married,62694,1,1,379,6,157,25,91
1519,PhD,Single,38578,1,1,38,4,22,3,3
1523,Graduation,Married,59041,1,1,69,2,15,2,2
1524,2n Cycle,Single,81698,0,0,709,45,115,30,160
1542,Graduation,Single,56243,1,2,347,0,35,4,3
1544,Master,Divorced,81380,0,0,741,68,689,224,68
1545,Graduation,Married,38508,1,0,120,19,206,25,19
1553,Graduation,Together,82657,0,0,966,168,672,246,105
1570,PhD,Together,69702,0,1,664,9,240,50,19
1577,Graduation,Married,78569,0,0,558,79,622,207,175
1581,Graduation,Married,37406,1,0,2,0,8,2,2
1584,Graduation,Married,41443,1,0,171,7,171,25,19
1592,Graduation,Married,90765,0,0,547,99,812,151,82
1600,Master,Married,56962,2,1,292,3,77,10,3
1604,Master,Married,47353,0,1,184,2,19,8,8
1606,Graduation,Together,38590,1,0,3,1,8,4,3
1618,Graduation,Together,56046,0,0,577,0,64,0,0
1619,Graduation,Married,90369,0,0,292,51,981,224,23
1626,PhD,Divorced,35860,1,1,15,0,8,4,2
1627,2n Cycle,Divorced,77297,0,0,408,61,109,48,122
1628,Graduation,Together,71796,0,0,354,21,311,167,75
1630,Graduation,Single,61825,0,1,162,50,100,55,30
1631,PhD,Together,65220,0,0,890,63,292,0,25
1640,Graduation,Divorced,64587,1,1,66,0,16,0,6
1646,Basic,Married,25224,1,0,4,9,12,11,2
1650,Master,Married,81843,0,0,779,86,537,34,69
1655,Graduation,Together,34350,1,0,16,3,15,2,1
1663,PhD,Together,34043,1,0,20,2,14,3,0
1665,PhD,Divorced,64140,0,2,1459,0,61,0,15
1672,PhD,Together,65640,0,1,204,7,149,20,15
1676,Graduation,Married,43057,0,1,213,2,44,0,2
1685,PhD,Together,62981,0,0,796,14,590,38,44
1710,Graduation,Single,30168,1,0,154,20,66,0,12
1715,Graduation,Together,25851,1,0,9,4,18,7,5
1717,Graduation,Single,39747,1,0,80,15,93,20,13
1726,Graduation,Single,22585,0,0,3,9,15,13,2
1729,PhD,Together,66426,0,1,1043,24,97,32,24
1734,PhD,Together,40706,2,1,59,0,11,4,2
1740,Graduation,Married,55956,0,0,760,38,104,50,9
1743,Graduation,Single,69719,0,0,273,86,208,177,14
1744,Basic,Single,23529,0,1,9,7,13,3,2
1745,PhD,Divorced,85696,0,0,714,76,395,116,0
1755,2n Cycle,Together,45204,1,0,30,11,25,29,1
1763,Graduation,Together,87679,0,0,1259,172,815,97,148
1764,Graduation,Single,33955,1,0,100,2,128,23,7
1772,PhD,Married,79174,0,0,1074,37,518,193,92
1773,2n Cycle,Married,12393,0,0,5,6,15,11,7
1777,Basic,Married,25965,0,0,2,2,11,41,7
1802,Graduation,Married,64795,0,1,412,5,119,38,29
1818,PhD,Together,29732,1,0,25,0,8,0,1
1826,Graduation,Divorced,84835,0,0,189,104,379,111,189
1829,PhD,Divorced,54959,0,1,1148,0,60,0,0
1833,PhD,Single,39190,1,0,68,8,18,19,8
1834,Master,Single,35544,1,0,30,5,23,4,1
1839,Graduation,Single,43322,0,0,56,7,48,10,2
1857,Graduation,Single,47139,1,1,46,0,12,0,2
1859,Master,Married,75251,0,0,721,111,925,97,18
1867,Graduation,Single,64849,0,0,652,48,350,94,84
1876,Graduation,Married,18929,0,0,32,0,8,23,4
1878,2n Cycle,Married,23148,0,0,4,6,8,6,3
1880,PhD,Together,53537,1,1,81,0,6,0,0
1890,2n Cycle,Together,42033,1,1,11,1,4,2,0
1891,Master,Divorced,78789,0,0,667,50,850,21,83
1907,Master,Divorced,63120,0,1,965,69,279,54,41
1911,Graduation,Together,67430,0,0,595,97,291,127,133
1915,PhD,Married,78939,0,0,794,115,243,150,0
1916,Master,Married,45736,0,1,188,3,180,20,3
1920,Graduation,Married,40321,1,1,44,4,21,6,0
1921,PhD,Married,59062,2,1,46,1,12,3,0
1927,2n Cycle,Together,69401,0,1,399,27,159,58,8
1928,Graduation,Married,31814,1,0,35,3,20,4,1
1940,Graduation,Married,25252,1,0,1,3,4,2,2
1945,Graduation,Married,71434,0,1,711,36,217,172,96
1951,Basic,Married,34445,0,0,228,122,122,208,129
1958,PhD,Together,55012,0,1,582,0,65,0,0
1964,Graduation,Together,86610,0,0,446,107,768,33,196
1966,PhD,Married,84618,0,0,684,100,801,21,66
1968,Graduation,Widow,45684,1,0,5,1,5,10,0
1970,Master,Together,34053,0,1,63,0,21,7,0
1987,Basic,Single,21063,1,0,1,10,11,19,3
1990,PhD,Single,63159,0,0,965,34,586,89,86
1991,Graduation,Together,44931,0,1,78,0,11,0,0
1992,Graduation,Married,60597,0,1,522,0,257,32,16
1993,PhD,Married,58607,0,1,867,0,86,0,0
1998,Graduation,Single,37697,1,0,34,6,21,11,4
2002,Graduation,Divorced,71964,0,0,587,51,932,180,34
2004,Graduation,Single,72679,0,1,619,54,260,127,54
2005,Graduation,Married,35765,1,0,22,3,30,0,5
2008,Graduation,Married,77583,0,0,372,23,384,250,12
2021,Graduation,Married,61456,0,1,563,76,384,84,192
2036,PhD,Together,57906,0,1,243,11,119,10,3
2055,PhD,Divorced,35860,1,1,15,0,8,4,2
2061,Graduation,Married,50737,0,1,78,0,11,0,0
2066,Graduation,Together,38823,0,1,70,0,11,2,8
2072,PhD,Together,53374,0,1,896,10,101,13,10
2075,Graduation,Married,72460,0,0,377,10,540,80,30
2079,2n Cycle,Married,81044,0,0,450,26,535,73,98
2088,Graduation,Together,84906,0,0,997,15,414,99,30
2098,PhD,Married,33581,2,0,11,0,5,0,0
2106,2n Cycle,Married,20130,0,0,0,6,3,7,6
2109,Graduation,Single,96843,0,0,448,71,951,40,17
2114,PhD,Single,82800,0,0,1006,22,115,59,68
2115,Graduation,Together,50116,1,1,54,0,10,0,0
2118,2n Cycle,Married,62905,0,1,166,75,96,119,107
2125,Graduation,Divorced,63033,0,0,194,61,480,225,112
2130,Graduation,Together,45203,2,0,35,3,67,10,8
2131,PhD,Divorced,62859,0,1,1063,89,102,16,12
2134,Graduation,Single,53700,0,1,263,5,233,69,41
2139,Master,Married,7500,1,0,3,1,10,3,2
2147,Graduation,Together,76653,0,0,736,63,946,219,189
2150,PhD,Widow,80995,0,1,860,28,409,73,56
2154,Graduation,Widow,30372,1,1,15,0,12,7,3
2156,PhD,Married,22554,1,1,27,0,10,0,0
2157,Graduation,Together,26290,1,1,15,8,16,11,5
2162,Graduation,Married,56939,0,1,256,34,103,90,29
2166,2n Cycle,Widow,46779,1,1,12,1,3,0,0
2173,Graduation,Widow,40049,0,1,13,6,7,0,3
2174,Graduation,Single,46344,1,1,11,1,6,2,1
2176,Graduation,Married,80134,1,0,1218,16,272,104,0
2181,Graduation,Married,70617,0,0,353,61,753,40,46
2186,2n Cycle,Together,82326,0,0,938,142,754,159,81
2202,Graduation,Together,41154,0,1,44,2,11,2,3
2217,2n Cycle,Married,37284,1,1,11,1,2,2,1
2223,2n Cycle,Divorced,64176,0,1,1215,33,249,64,116
2225,Graduation,Divorced,82582,0,0,510,120,550,156,40
2227,2n Cycle,Together,26490,0,0,45,47,52,21,20
2230,PhD,Married,23626,1,0,27,2,14,0,0
2245,Master,Married,43641,1,1,57,2,51,4,2
2246,2n Cycle,Married,46891,0,1,43,12,23,29,15
2253,Graduation,Married,18929,0,0,32,0,8,23,4
2254,Graduation,Married,69520,0,0,627,120,414,121,80
2256,Master,Married,27159,1,1,17,0,3,0,0
2258,Graduation,Married,32880,1,0,8,4,15,7,6
2261,Graduation,Married,26304,1,0,4,1,5,2,0
2262,Master,Together,45143,0,1,202,5,74,11,5
2276,Graduation,Single,57959,0,1,430,16,322,43,24
2278,2n Cycle,Single,33812,1,0,4,17,19,30,24
2281,Graduation,Single,33697,1,0,4,3,7,0,3
2285,Master,Together,36634,0,1,213,9,76,4,3
2286,Graduation,Single,50785,1,1,64,1,21,0,1
2292,Graduation,Single,22327,1,0,5,4,8,2,0
2295,PhD,Married,62670,0,1,539,30,92,80,46
2296,Master,Married,37368,1,0,3,2,11,2,2
2304,PhD,Together,66313,0,1,625,7,99,10,22
2308,Graduation,Married,46734,0,1,110,5,137,26,23
2315,Graduation,Divorced,58401,0,1,10,0,11,17,29
2320,2n Cycle,Married,47025,0,1,508,11,59,23,5
2324,Graduation,Together,77044,0,1,625,38,242,50,34
2326,Graduation,Married,18929,0,0,32,0,8,23,4
2337,Graduation,Divorced,29819,1,0,9,1,24,2,1
2345,PhD,Together,70038,0,0,587,54,348,71,54
2350,Graduation,Married,59666,1,1,623,53,178,23,17
2371,Graduation,Married,33622,1,1,39,1,22,3,4
2375,Graduation,Together,30261,1,2,8,0,5,0,3
2379,Graduation,Single,69267,0,0,778,44,499,95,73
2387,Master,Together,43776,1,1,177,2,71,3,2
2392,Graduation,Married,40321,1,1,44,4,21,6,0
2404,Graduation,Married,53359,1,1,173,4,30,3,6
2406,Graduation,Together,54591,0,1,376,4,94,12,9
2407,Graduation,Married,69109,0,0,823,25,459,124,29
2408,Graduation,Married,58597,1,1,490,0,184,10,28
2410,Graduation,Single,81657,0,0,364,40,425,158,60
2415,Graduation,Together,62568,0,1,362,17,398,80,35
2416,PhD,Single,66582,0,0,789,25,420,16,38
2426,PhD,Divorced,78825,0,0,483,74,114,169,37
2428,Graduation,Married,28164,1,0,3,18,26,11,8
2429,Graduation,Divorced,72071,0,1,531,69,300,150,138
2431,Graduation,Married,18222,0,0,12,4,19,12,6
2445,PhD,Together,28440,1,0,38,1,24,0,0
2447,Graduation,Together,30545,1,0,4,12,15,19,7
2452,Graduation,Together,34600,1,1,199,33,60,8,3
2453,Graduation,Together,62807,0,1,526,28,135,10,21
2456,PhD,Married,40233,0,1,80,4,46,0,17
2457,Basic,Married,30801,0,1,8,4,5,15,2
2461,Master,Single,51124,1,1,26,1,11,0,1
2471,Graduation,Married,61482,0,0,48,58,68,16,66
2478,Graduation,Married,25410,1,0,2,2,4,13,13
2488,2n Cycle,Divorced,31395,1,1,23,1,25,0,8
2493,Graduation,Married,61286,0,1,356,0,107,19,9
2495,Master,Married,83891,0,1,217,38,350,111,85
2499,2n Cycle,Single,75342,0,1,204,97,97,21,118
2516,2n Cycle,Married,46831,1,1,22,2,10,6,4
2518,2n Cycle,Together,20491,0,0,5,4,5,4,2
2521,Master,Married,35178,1,0,23,1,13,2,2
2525,PhD,Married,38410,0,0,153,64,123,116,64
2532,Master,Single,73454,0,0,982,73,351,56,14
2534,Graduation,Married,37716,0,1,97,1,41,6,2
2535,Master,Married,88097,1,0,163,0,480,0,126
2541,Graduation,Married,24027,1,0,14,7,11,11,0
2544,Master,Divorced,57530,0,1,50,1,27,6,7
2546,2n Cycle,Single,31878,0,1,23,4,5,10,5
2549,PhD,Together,21840,1,0,17,0,9,0,0
2552,PhD,Single,55521,1,2,416,0,26,0,0
2557,Master,Single,29548,1,0,7,1,6,3,1
2561,Graduation,Single,63810,0,1,977,12,253,16,12
2563,Basic,Married,28249,0,0,1,9,7,2,14
